,front_leg,mid_leg,back_leg,tf,ROI,lookback,std_dev,front_vector,middle_vector,back_vector
168,ETH-28JAN22,ETH-30SEP22,BTC-30SEP22,360,0.9983728303363354,20,2,1.0,-0.97,0.0
169,ETH-28JAN22,ETH-30SEP22,BTC-30SEP22,720,1.0,20,2,1.0,-0.96,0.0
170,ETH-28JAN22,ETH-30SEP22,BTC-PERPETUAL,15,0.949581693191523,20,2,1.0,-0.95,0.0
171,ETH-28JAN22,ETH-30SEP22,BTC-PERPETUAL,30,0.9766477944842289,20,2,1.0,-0.95,0.0
172,ETH-28JAN22,ETH-30SEP22,BTC-PERPETUAL,60,0.9885514403685307,20,2,1.0,-0.95,0.0
173,ETH-28JAN22,ETH-30SEP22,BTC-PERPETUAL,120,0.9836322523411825,20,2,1.0,-0.96,0.0
174,ETH-28JAN22,ETH-30SEP22,BTC-PERPETUAL,180,0.9933310509104066,20,2,1.0,-0.95,0.0
175,ETH-28JAN22,ETH-30SEP22,BTC-PERPETUAL,360,0.9983728303363354,20,2,1.0,-0.97,0.0
176,ETH-28JAN22,ETH-30SEP22,BTC-PERPETUAL,720,1.0,20,2,1.0,-0.95,0.0
177,ETH-28JAN22,ETH-7JAN22,ETH-PERPETUAL,15,0.9440141974238944,20,2,1.0,-0.57,-0.45
178,ETH-28JAN22,ETH-7JAN22,ETH-PERPETUAL,30,0.9738012575315423,20,2,1.0,-0.58,-0.45
179,ETH-28JAN22,ETH-7JAN22,ETH-PERPETUAL,60,0.9920172394920512,20,2,1.0,-0.57,-0.47
180,ETH-28JAN22,ETH-7JAN22,ETH-PERPETUAL,120,0.9925459377428396,20,2,1.0,-0.46,-0.5
181,ETH-28JAN22,ETH-7JAN22,ETH-PERPETUAL,180,0.9567063787860679,20,2,1.0,9.73,1.63
182,ETH-28JAN22,ETH-7JAN22,BTC-25MAR22,15,0.9390166897937797,20,2,1.0,-1.01,0.0
183,ETH-28JAN22,ETH-7JAN22,BTC-25MAR22,30,0.9726344047803657,20,2,1.0,-1.02,0.0
184,ETH-28JAN22,ETH-7JAN22,BTC-25MAR22,60,0.990705039911917,20,2,1.0,-1.06,0.0
185,ETH-28JAN22,ETH-7JAN22,BTC-25MAR22,120,0.9977114238790733,20,2,1.0,-1.01,0.0
186,ETH-28JAN22,ETH-7JAN22,BTC-25MAR22,180,0.9726111891557627,20,2,1.0,-4.96,0.02
187,ETH-28JAN22,ETH-7JAN22,BTC-28JAN22,15,0.9390166897937797,20,2,1.0,-1.01,0.0
188,ETH-28JAN22,ETH-7JAN22,BTC-28JAN22,30,0.9715145706201093,20,2,1.0,-1.01,0.0
189,ETH-28JAN22,ETH-7JAN22,BTC-28JAN22,60,0.990705039911917,20,2,1.0,-1.06,0.0
190,ETH-28JAN22,ETH-7JAN22,BTC-28JAN22,120,0.9989563927751811,20,2,1.0,-1.03,0.0
191,ETH-28JAN22,ETH-7JAN22,BTC-28JAN22,180,0.9690465952515165,20,2,1.0,-8.03,0.04
192,ETH-28JAN22,ETH-7JAN22,BTC-24JUN22,15,0.9390166897937797,20,2,1.0,-1.01,0.0
193,ETH-28JAN22,ETH-7JAN22,BTC-24JUN22,30,0.9726344047803657,20,2,1.0,-1.02,0.0
194,ETH-28JAN22,ETH-7JAN22,BTC-24JUN22,60,0.990705039911917,20,2,1.0,-1.06,0.0
195,ETH-28JAN22,ETH-7JAN22,BTC-24JUN22,120,0.9989563927751811,20,2,1.0,-1.03,0.0
196,ETH-28JAN22,ETH-7JAN22,BTC-24JUN22,180,0.9795133823395716,20,2,1.0,-2.76,0.01
197,ETH-28JAN22,ETH-7JAN22,BTC-7JAN22,15,0.9390166897937797,20,2,1.0,-1.01,0.0
198,ETH-28JAN22,ETH-7JAN22,BTC-7JAN22,30,0.9726344047803657,20,2,1.0,-1.02,0.0
199,ETH-28JAN22,ETH-7JAN22,BTC-7JAN22,60,0.990705039911917,20,2,1.0,-1.06,0.0
